[buoy_visualizer-5] [INFO] [1771741073.372308216] [buoy_visualizer]: Buoy visualizer node started
[buoy_visualizer-5] [INFO] [1771741075.252206913] [buoy_visualizer]: Buoy 8: range=6.89m, bearing=34.0°, position=(5.71, 3.86), confidence=0.50
[buoy_visualizer-5] [INFO] [1771741075.253739854] [buoy_visualizer]: Published 9 buoy markers
[buoy_visualizer-5] [INFO] [1771741075.354118613] [buoy_visualizer]: Buoy 0: range=1.30m, bearing=8.5°, position=(1.28, 0.19), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.355136510] [buoy_visualizer]: Buoy 1: range=9.60m, bearing=44.5°, position=(6.85, 6.73), confidence=0.75
[buoy_visualizer-5] [INFO] [1771741075.356160934] [buoy_visualizer]: Buoy 2: range=6.97m, bearing=68.4°, position=(2.56, 6.48), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.356954878] [buoy_visualizer]: Buoy 3: range=7.34m, bearing=-22.8°, position=(6.76, -2.85), confidence=0.75
[buoy_visualizer-5] [INFO] [1771741075.357731605] [buoy_visualizer]: Buoy 4: range=12.48m, bearing=-21.9°, position=(11.58, -4.64), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.358526862] [buoy_visualizer]: Buoy 5: range=9.30m, bearing=0.9°, position=(9.30, 0.15), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.359582809] [buoy_visualizer]: Buoy 6: range=6.89m, bearing=34.0°, position=(5.71, 3.86), confidence=0.50
[buoy_visualizer-5] [INFO] [1771741075.361279985] [buoy_visualizer]: Buoy 7: range=3.46m, bearing=-104.5°, position=(-0.87, -3.35), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.362352029] [buoy_visualizer]: Buoy 8: range=0.31m, bearing=-163.8°, position=(-0.30, -0.09), confidence=1.00
[buoy_visualizer-5] [INFO] [1771741075.363838502] [buoy_visualizer]: Published 9 buoy markers
[buoy_visualizer-5] [INFO] [1771741075.459008381] [buoy_visualizer]: Buoy 0: range=1.29m, bearing=9.5°, position=(1.27, 0.21), confidence=1.00
