[buoy_detector-3] /usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
[buoy_detector-3]   warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
[buoy_detector-3] [INFO] [1771741093.366519681] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741093.483119362] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741093.588921705] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741093.705517514] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741093.845087199] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741093.955390500] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741094.072575597] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741094.213239501] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741094.325441302] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741094.448232201] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741094.559106068] [buoy_detector]: Detected 12 buoy(s)
[buoy_detector-3] [INFO] [1771741094.667916206] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741094.798019461] [buoy_detector]: Detected 9 buoy(s)
[buoy_detector-3] [INFO] [1771741094.941502796] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741095.081150659] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741095.169030711] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741095.288601190] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741095.401054878] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741095.515717779] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741095.655836234] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741095.767579473] [buoy_detector]: Detected 10 buoy(s)
[buoy_detector-3] [INFO] [1771741095.881377704] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741096.020472375] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741096.112354244] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741096.266638335] [buoy_detector]: Detected 11 buoy(s)
[buoy_detector-3] [INFO] [1771741096.383379012] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741096.504067455] [buoy_detector]: Detected 15 buoy(s)
[buoy_detector-3] [INFO] [1771741096.644393475] [buoy_detector]: Detected 13 buoy(s)
[buoy_detector-3] [INFO] [1771741096.774880433] [buoy_detector]: Detected 14 buoy(s)
[buoy_detector-3] [INFO] [1771741096.913248906] [buoy_detector]: Detected 13 buoy(s)
